Tempo (ms);m1
0;437.23334804112
33;418.787462156554
67;400.084843732999
100;380.762711480553
133;360.606520081411
167;339.616848183883
200;317.97392122306
233;295.967033472227
267;273.950510330589
300;252.309009230116
333;231.422739453278
367;211.635357619794
400;193.227603659685
433;176.419297298082
467;161.395880565169
500;148.330046006399
533;137.374750952996
567;128.63963914572
600;122.196707184795
633;118.115950950828
667;116.487982479131
700;117.4088414219
733;120.934158612852
767;127.042234448629
800;135.632806824992
833;146.546931808673
867;159.601585362737
900;174.624047641578
933;191.444136736842
967;209.851662347719
1000;229.574408876901
1033;250.302592502072
1067;271.727431633492
1100;293.550872942971
1133;315.473339413111
1167;337.181489016098
1200;358.341805631458
1233;378.606972378652
1267;397.627479007018
1300;415.062326782397
1333;430.598853826076
1367;443.974359547557
1400;454.989083717898
1433;463.510503084248
1467;469.461882855671
1500;472.796536222705
1533;473.468684314884
1567;471.423979826895
1600;466.631067836607
1633;459.126389889365
1667;449.026075166056
1700;436.501086935727
1733;421.75112237
1767;405.004772416641
1800;386.536466633315
1833;366.671214525718
1867;345.759978905107
1900;324.151567595931
1933;302.198743364413
1967;280.270415182269
2000;258.726046361453
2033;237.888583457231
2067;218.052383157091
2100;199.485585639056
2133;182.407101324992
2167;166.985859348258
2200;153.381511081643
2233;141.771212328193
2267;132.327138192024
2300;125.188843273134
2333;120.457722373161
2367;118.195930328852
2400;118.43287954712
2433;121.171191367087
2467;126.37288435335
2500;133.958169864153
2533;143.836450548666
2567;155.914214478344
2600;170.060563946312
2633;186.091786261242
2667;203.790406201376
2700;222.916045042169
2733;243.202956892705
2767;264.358504553509
2800;286.063910745937
2833;307.981463067602
2867;329.758928251097
2900;351.024883282042
2933;371.402726490303
2967;390.555529863726
3000;408.209740657326
3033;424.120034312547
3067;438.02834716914
3100;449.680175982747
3133;458.878933084832
3167;465.510749455389
3200;469.516346313307
3233;470.858338918407
3267;469.524313065181
3300;465.537628051211
3333;458.945437434078
3367;449.813949446122
3400;438.25619481641
3433;424.449833313669
